"Jurisdiction","State","Year","Week","Death_Count","Period","Avg_No_Deaths","Variance_2015_2019_2020","Perc_Diff_2015_2019_2020"
"Arizona","AZ","2021",52,129,"2021",70,21,20.6
"Arizona","AZ","2022",42,123,"2023",76,33,33.7
"Alabama","AL","2022",32,84,"2021",127,-2,-2.8
"Arizona","AZ","2022",36,110,"2022",88,20,25.3
"Arizona","AZ","2023",26,143,"2020",84,51,60.7
"Alabama","AL","2022",50,104,"2023",127,9,11.4
"Arkansas","AR","2020",14,61,"2020",81,14,26.8
"Arkansas","AR","2020",17,63,"2021",124,7,11.3
"Arizona","AZ","2020",42,118,"2022",93,31,33.7
"Arizona","AZ","2023",22,134,"2023",131,45,42.1
"Arkansas","AR","2022",27,56,"2020",65,5,9.8
"Arizona","AZ","2020",31,124,"2020",65,46,48.2
"Arkansas","AR","2021",26,42,"2022",152,-6,-11.8
"Arkansas","AR","2021",19,48,"2021",84,-2,-5.1
"Alabama","AL","2022",11,107,"2021",121,13,13.8
"Alabama","AL","2021",34,103,"2020",137,20,22.2
"Alabama","AL","2022",27,88,"2023",97,3,2.9
"Alabama","AL","2023",8,114,"2022",93,5,6.3
"Alabama","AL","2022",42,81,"2020",113,6,7.3
"Alabama","AL","2020",35,107,"2023",103,18,20.2
"Arizona","AZ","2020",8,130,"2020",104,32,36.3
"Arkansas","AR","2020",20,71,"2022",72,25,47.7
"Arizona","AZ","2022",45,103,"2022",113,10,9.3
"Arizona","AZ","2020",27,137,"2020",161,61,76.2
"Alabama","AL","2020",37,107,"2023",47,21,23.6
"Arizona","AZ","2022",11,145,"2023",72,49,50.5
"Arizona","AZ","2020",23,154,"2020",109,53,56.2
"Alabama","AL","2023",1,93,"2023",107,-11,-16.1
"Alabama","AL","2021",22,81,"2021",126,-7,-10.8
"Arizona","AZ","2020",18,139,"2020",97,44,46.7
"Arizona","AZ","2021",38,116,"2021",97,26,33.3
"Arizona","AZ","2020",38,111,"2020",116,18,20
"Alabama","AL","2021",30,75,"2021",112,-14,-14.7
"Arkansas","AR","2020",28,56,"2022",87,7,10
"Arizona","AZ","2023",8,109,"2020",99,13,11.9
"Alabama","AL","2023",30,87,"2022",129,3,5.1
"Arkansas","AR","2023",10,68,"2021",82,8,13.6
"Arizona","AZ","2022",49,137,"2021",111,39,34.4
"Arkansas","AR","2022",22,57,"2022",87,10,20.9
"Alabama","AL","2023",20,90,"2021",118,9,11.5
"Arizona","AZ","2021",9,104,"2020",81,10,9.9
"Alabama","AL","2021",8,97,"2022",90,-3,-2
"Alabama","AL","2022",22,84,"2020",130,4,3.9
"Arizona","AZ","2023",3,150,"2022",114,32,31.2
"Arizona","AZ","2020",9,123,"2023",105,13,14.4
"Alabama","AL","2021",15,81,"2021",106,-7,-8.5
"Arkansas","AR","2020",22,44,"2020",87,1,1.7
"Arizona","AZ","2020",30,154,"2022",120,55,58.6
"Arkansas","AR","2023",10,64,"2021",126,5,9.8
"Arizona","AZ","2023",2,135,"2021",42,27,25.9
"Alabama","AL","2020",2,106,"2021",146,-1,-1.1
"Arizona","AZ","2023",31,126,"2022",126,37,39.3
"Alabama","AL","2021",41,93,"2020",109,10,11.1
"Alabama","AL","2021",24,82,"2023",59,0,0
"Alabama","AL","2023",25,88,"2022",54,8,11
"Arkansas","AR","2021",4,61,"2022",103,-1,-1.6
"Arizona","AZ","2020",35,126,"2023",96,44,51.8
"Arkansas","AR","2023",19,48,"2020",68,-2,-5.8
"Alabama","AL","2021",16,104,"2020",107,25,34.1
"Arkansas","AR","2023",10,63,"2020",106,5,9.4
"Alabama","AL","2023",25,88,"2023",137,3,3.6
"Arizona","AZ","2021",4,121,"2020",64,19,17
"Arkansas","AR","2020",17,65,"2022",131,18,39.1
"Alabama","AL","2023",13,72,"2021",44,-14,-20
"Arkansas","AR","2020",14,51,"2021",105,-6,-11.8
"Arizona","AZ","2023",30,110,"2023",56,22,24.4
"Alabama","AL","2020",28,106,"2021",130,26,29.5
"Arizona","AZ","2021",11,115,"2023",62,12,12
"Arkansas","AR","2021",21,56,"2020",59,9,20.9
"Arizona","AZ","2020",22,130,"2020",124,33,33.7
"Arizona","AZ","2020",6,107,"2022",92,-1,-1.2
"Arizona","AZ","2020",18,130,"2020",141,40,41.2
"Arizona","AZ","2021",32,90,"2021",126,-2,-3.1
"Arizona","AZ","2022",34,111,"2021",130,27,32.5
"Alabama","AL","2020",22,100,"2022",52,23,29.9
"Arkansas","AR","2023",19,58,"2020",123,10,22.6
"Arizona","AZ","2020",36,109,"2020",97,10,9.2
"Alabama","AL","2021",23,97,"2022",110,10,11.2
"Arizona","AZ","2021",52,124,"2023",134,35,33
"Arkansas","AR","2022",25,57,"2022",126,10,20.4
"Alabama","AL","2023",35,99,"2023",112,15,16.7
"Arizona","AZ","2023",25,116,"2023",125,19,18.4
"Alabama","AL","2022",49,109,"2023",97,0,0
"Alabama","AL","2020",48,112,"2023",140,24,29.9
"Alabama","AL","2021",28,103,"2020",104,15,17.6
"Arizona","AZ","2021",5,146,"2022",93,49,50.5
"Arkansas","AR","2020",16,73,"2020",130,24,39.1
"Alabama","AL","2023",30,87,"2023",112,4,2.9
"Alabama","AL","2020",5,102,"2020",97,2,3.3
"Alabama","AL","2022",18,98,"2020",59,12,14.8
"Arkansas","AR","2022",5,59,"2023",60,-2,-6.5
"Arizona","AZ","2021",42,123,"2023",121,24,23
"Alabama","AL","2020",46,117,"2020",121,9,7.9
"Alabama","AL","2021",14,87,"2021",140,-10,-15.3
"Arizona","AZ","2022",10,128,"2020",114,22,21
"Alabama","AL","2021",2,117,"2021",73,10,8.3
"Arizona","AZ","2022",40,123,"2022",69,27,28.6
"Arkansas","AR","2021",5,80,"2021",131,16,29.5
"Arizona","AZ","2020",25,141,"2022",89,37,36.8
"Alabama","AL","2022",47,98,"2023",123,-3,-3.1
"Alabama","AL","2021",51,95,"2022",157,11,12.4
"Alabama","AL","2021",38,79,"2023",136,-7,-8.2
"Arizona","AZ","2023",5,161,"2022",130,68,73.1
"Arizona","AZ","2021",7,81,"2023",89,-17,-16.7
"Arkansas","AR","2021",13,63,"2020",57,14,28.3
"Alabama","AL","2020",44,97,"2022",119,8,11.5
"Arizona","AZ","2020",28,137,"2021",126,53,58.8
"Arizona","AZ","2021",32,114,"2022",116,26,32.6
"Arizona","AZ","2022",2,148,"2022",60,39,28.9
"Arizona","AZ","2022",39,131,"2020",68,40,44
"Alabama","AL","2022",46,109,"2022",133,16,14.5
"Arizona","AZ","2020",45,106,"2023",44,10,9.9
"Alabama","AL","2022",11,81,"2022",96,-14,-20
"Arizona","AZ","2021",11,109,"2023",143,4,2.9
"Arizona","AZ","2021",12,120,"2021",77,17,18.8
"Alabama","AL","2021",11,81,"2022",58,-13,-18.1
"Alabama","AL","2020",27,100,"2021",101,24,29.1
"Arizona","AZ","2021",35,105,"2021",153,6,6.1
"Arkansas","AR","2021",29,51,"2022",152,7,14
"Alabama","AL","2020",17,90,"2020",114,3,3.9
"Arizona","AZ","2020",1,128,"2020",107,14,13.7
"Alabama","AL","2022",46,121,"2022",98,20,20.4
"Arizona","AZ","2021",36,126,"2020",64,37,41.6
"Arizona","AZ","2023",17,115,"2020",47,19,18.9
"Alabama","AL","2021",35,103,"2020",94,16,17
"Alabama","AL","2022",32,83,"2021",82,-5,-6.4
"Arizona","AZ","2022",12,120,"2021",104,12,11.8
"Alabama","AL","2020",41,107,"2023",126,22,23.6
"Alabama","AL","2020",15,100,"2023",87,10,12
"Arizona","AZ","2023",18,126,"2023",126,35,41.6
"Arizona","AZ","2022",20,126,"2022",52,40,61.3
"Arizona","AZ","2020",44,106,"2020",67,12,14
"Arkansas","AR","2023",10,68,"2022",87,9,15
"Alabama","AL","2020",5,105,"2022",89,-1,-1.2
"Alabama","AL","2023",27,94,"2020",88,13,16
"Alabama","AL","2022",47,98,"2020",108,5,5.7
"Arizona","AZ","2023",26,124,"2022",120,37,41.6
"Alabama","AL","2020",5,106,"2021",69,-4,-4.1
"Alabama","AL","2020",45,112,"2021",65,24,29.1
"Arizona","AZ","2020",40,111,"2021",81,14,12
"Alabama","AL","2022",50,98,"2023",152,5,5.7
"Arizona","AZ","2023",20,115,"2022",107,19,19.6
"Arizona","AZ","2023",15,139,"2022",71,49,48.4
"Arizona","AZ","2021",26,94,"2021",99,-3,-2.2
"Arizona","AZ","2020",50,133,"2022",112,45,50.5
"Arkansas","AR","2023",28,40,"2023",137,-7,-14.9
"Arkansas","AR","2023",14,49,"2023",100,-6,-13.6
"Arkansas","AR","2021",5,66,"2020",122,9,16.1
"Alabama","AL","2022",28,93,"2021",114,14,15.9
"Arizona","AZ","2021",32,110,"2020",141,27,32.5
"Alabama","AL","2020",44,107,"2020",141,16,15
"Arizona","AZ","2022",21,126,"2022",60,33,38.4
"Alabama","AL","2022",43,89,"2020",89,3,3.4
"Alabama","AL","2023",32,83,"2022",64,-1,-2
"Arkansas","AR","2021",3,54,"2021",95,-5,-8
"Alabama","AL","2023",35,88,"2021",105,6,7.7
"Arizona","AZ","2020",39,120,"2022",127,30,34.8
"Arkansas","AR","2020",27,56,"2020",127,10,22.6
"Alabama","AL","2020",35,119,"2020",172,38,40
"Alabama","AL","2020",34,117,"2021",104,33,41
"Arkansas","AR","2023",27,60,"2023",57,11,22.6
"Alabama","AL","2020",32,117,"2020",146,46,57.5
"Arizona","AZ","2023",10,125,"2023",100,28,29.8
"Arkansas","AR","2022",22,57,"2020",120,10,22.6
"Arkansas","AR","2020",27,47,"2020",51,0,0
"Alabama","AL","2022",7,94,"2020",64,-4,-3.9
"Alabama","AL","2023",12,87,"2021",89,1,1.7
"Arizona","AZ","2023",8,109,"2022",115,2,2.2
"Arizona","AZ","2020",14,126,"2023",116,16,15.2
"Arkansas","AR","2021",6,80,"2020",112,22,29
"Arizona","AZ","2020",8,107,"2020",136,10,10.3
"Arizona","AZ","2022",4,150,"2021",58,34,34.3
"Alabama","AL","2020",4,104,"2020",93,-4,-3.7
"Arizona","AZ","2020",36,111,"2020",98,20,24.4
"Arizona","AZ","2020",41,124,"2020",48,37,41.6
"Arkansas","AR","2022",11,62,"2020",109,5,9.8
"Arizona","AZ","2023",34,120,"2022",97,26,27.3
"Arkansas","AR","2022",23,50,"2022",119,7,10
"Alabama","AL","2022",12,94,"2023",87,-8,-5.7
"Arizona","AZ","2023",20,126,"2020",64,35,41.6
"Alabama","AL","2020",37,106,"2020",119,17,20
"Arizona","AZ","2020",39,100,"2023",125,15,17.2
"Arizona","AZ","2021",46,105,"2021",70,13,17.9
"Alabama","AL","2021",32,82,"2021",130,-6,-7.2
"Alabama","AL","2020",52,117,"2023",108,24,23.7
"Arkansas","AR","2020",4,56,"2020",90,-7,-8.9
"Alabama","AL","2023",36,88,"2022",102,6,8.9
"Alabama","AL","2020",11,108,"2022",132,13,13.7
"Alabama","AL","2021",16,95,"2021",105,8,11.5
"Arizona","AZ","2022",1,153,"2023",50,34,30.6
"Alabama","AL","2021",6,114,"2022",106,12,14
"Arizona","AZ","2023",14,150,"2020",66,38,36.8
"Arizona","AZ","2022",22,134,"2020",126,34,38.4
"Arizona","AZ","2020",10,114,"2020",148,5,5
"Arkansas","AR","2020",17,60,"2023",84,7,13
"Arkansas","AR","2022",25,57,"2023",106,8,14.8
"Alabama","AL","2021",50,107,"2020",106,9,9
"Arkansas","AR","2022",21,58,"2022",94,10,20.4
"Alabama","AL","2021",3,109,"2021",130,2,1.7
"Arizona","AZ","2023",33,112,"2021",66,15,15.4
"Alabama","AL","2021",15,104,"2020",87,-3,-3.1
"Alabama","AL","2023",13,87,"2022",109,-8,-5.8
"Alabama","AL","2021",15,95,"2023",161,8,10.8
"Alabama","AL","2020",11,111,"2023",107,9,8.4
"Arizona","AZ","2023",15,150,"2022",119,49,50.5
"Alabama","AL","2023",26,93,"2020",102,12,14.5
"Arizona","AZ","2020",31,112,"2023",66,15,15.8
"Arkansas","AR","2023",3,72,"2021",119,17,33.3
"Alabama","AL","2021",35,97,"2022",149,10,10.8
"Arizona","AZ","2020",8,123,"2022",100,13,14
"Arizona","AZ","2021",7,115,"2022",151,17,19.8
"Alabama","AL","2022",13,94,"2020",101,-8,-8.4
"Alabama","AL","2021",27,81,"2022",130,-1,-1.6
"Arizona","AZ","2020",2,105,"2020",84,-3,-3.1
"Alabama","AL","2021",32,81,"2021",78,6,7.3
"Arizona","AZ","2021",19,129,"2021",119,32,33.7
"Arkansas","AR","2022",6,69,"2020",111,8,13.6
"Arizona","AZ","2020",23,149,"2020",109,37,37.6
"Arizona","AZ","2020",23,162,"2022",96,63,76.2
"Alabama","AL","2022",38,88,"2021",99,5,6.3
"Alabama","AL","2022",18,90,"2020",81,5,5
"Arizona","AZ","2023",12,109,"2023",121,6,7
"Arizona","AZ","2022",27,123,"2021",97,19,17.8
"Alabama","AL","2021",20,80,"2021",129,-7,-8.9
"Arizona","AZ","2020",16,146,"2020",157,37,39.8
"Arizona","AZ","2020",29,141,"2023",110,61,82
"Arizona","AZ","2020",48,130,"2021",47,32,34.4
"Arizona","AZ","2022",6,98,"2021",91,-6,-8.2
"Arizona","AZ","2022",15,150,"2020",126,49,48.9
"Arizona","AZ","2022",41,123,"2021",120,31,35.2
"Arkansas","AR","2020",25,65,"2020",90,12,22.6
"Arkansas","AR","2023",15,49,"2021",93,-3,-5.4
"Arizona","AZ","2020",3,105,"2023",88,-1,-2
"Arkansas","AR","2020",14,62,"2021",100,14,30.4
"Arkansas","AR","2020",23,59,"2023",107,13,28.3
"Arizona","AZ","2022",20,131,"2020",133,40,41.2
"Alabama","AL","2021",52,89,"2022",114,5,6.3
"Arizona","AZ","2021",52,116,"2022",99,31,35.8
"Arkansas","AR","2020",28,52,"2021",131,3,6.6
"Arizona","AZ","2021",6,141,"2020",133,37,34.3
"Alabama","AL","2022",41,81,"2023",111,-13,-18.1
"Arizona","AZ","2021",1,106,"2022",136,6,7
"Alabama","AL","2020",8,99,"2023",51,4,5.1
"Alabama","AL","2020",1,97,"2023",54,-6,-8.4
"Arizona","AZ","2022",50,136,"2021",96,45,52.3
"Alabama","AL","2021",18,97,"2021",116,11,12.6
"Arizona","AZ","2021",49,161,"2023",94,61,73.1
"Alabama","AL","2023",11,93,"2022",111,-3,-2.8
"Arizona","AZ","2020",41,111,"2023",93,21,24.7
"Arizona","AZ","2020",3,130,"2020",88,27,26.9
"Alabama","AL","2022",43,99,"2021",137,18,20.5
"Alabama","AL","2021",5,109,"2022",153,2,1.9
"Alabama","AL","2020",39,99,"2023",100,17,19.1
"Arizona","AZ","2023",26,116,"2023",103,28,29.9
"Alabama","AL","2020",48,132,"2021",120,24,24.2
"Arizona","AZ","2022",11,136,"2023",107,39,41.1
"Arizona","AZ","2023",22,128,"2020",120,35,37.6
"Arizona","AZ","2023",17,115,"2022",80,20,22
"Arkansas","AR","2021",22,50,"2022",104,5,9.4
"Arizona","AZ","2022",21,115,"2022",72,16,14.5
"Arkansas","AR","2020",17,48,"2023",51,-4,-5.1
"Arizona","AZ","2021",38,121,"2022",137,26,28.3
"Alabama","AL","2020",9,113,"2023",119,14,11.9
"Alabama","AL","2021",47,95,"2022",51,5,6.3
"Arizona","AZ","2020",14,107,"2021",64,4,3.9
"Alabama","AL","2022",10,81,"2021",104,-14,-16
"Arkansas","AR","2020",26,52,"2022",52,9,18.4
"Alabama","AL","2021",25,93,"2023",91,13,15.1
"Alabama","AL","2020",37,110,"2022",75,25,29.9
"Arkansas","AR","2023",11,44,"2022",126,-8,-11.5
"Alabama","AL","2023",2,102,"2023",136,6,7.3
"Arizona","AZ","2023",20,133,"2020",126,32,37.8
"Alabama","AL","2021",18,95,"2021",139,12,12.6
"Alabama","AL","2021",7,120,"2020",87,16,14
"Alabama","AL","2020",8,90,"2023",99,-3,-2.8
"Arkansas","AR","2021",12,64,"2020",127,5,10.9
"Arizona","AZ","2022",15,127,"2021",110,35,39.8
"Alabama","AL","2022",42,90,"2022",105,6,8.1
"Arkansas","AR","2022",23,71,"2023",126,17,41.3
"Arkansas","AR","2023",13,64,"2021",113,21,28.8
"Arizona","AZ","2021",14,112,"2021",134,20,24.4
"Alabama","AL","2022",42,81,"2023",100,-12,-9.3
"Alabama","AL","2023",32,84,"2022",89,5,6.3
"Arizona","AZ","2023",36,111,"2023",131,15,15.8
"Arkansas","AR","2021",23,45,"2023",44,-2,-6.5
"Arizona","AZ","2020",6,124,"2022",90,32,31.2
"Alabama","AL","2021",47,108,"2020",150,18,20.2
"Arizona","AZ","2021",38,123,"2020",101,31,34.8
"Alabama","AL","2021",42,91,"2020",50,5,6
"Arizona","AZ","2020",52,161,"2021",145,61,59.2
"Arizona","AZ","2022",50,136,"2020",114,33,34.4
"Arizona","AZ","2023",26,104,"2020",63,10,11.2
"Alabama","AL","2020",43,98,"2020",45,5,5.8
"Alabama","AL","2021",5,122,"2022",136,19,17
"Arkansas","AR","2021",5,66,"2023",49,4,8.7
"Arizona","AZ","2022",50,148,"2021",130,40,44
"Alabama","AL","2022",12,84,"2022",61,-3,-2.7
"Arizona","AZ","2022",15,131,"2023",135,37,37.2
"Arizona","AZ","2020",51,137,"2022",110,39,33
"Alabama","AL","2021",9,81,"2021",104,-13,-16.3
"Alabama","AL","2021",19,95,"2023",117,8,9.3
"Alabama","AL","2021",31,84,"2023",120,-1,-2
"Alabama","AL","2020",29,106,"2020",47,16,14
"Arizona","AZ","2023",34,126,"2020",115,45,48.2
"Arizona","AZ","2022",37,137,"2020",65,53,58.6
"Alabama","AL","2021",35,97,"2023",125,15,20.5
"Arizona","AZ","2023",30,107,"2020",117,5,5
"Alabama","AL","2021",20,95,"2023",116,10,11.1
"Arkansas","AR","2023",25,47,"2021",66,-2,-8.2
"Arizona","AZ","2020",47,129,"2023",114,33,33
"Arizona","AZ","2023",19,115,"2023",56,19,17
"Arizona","AZ","2023",19,115,"2023",138,30,36.3
"Alabama","AL","2020",41,107,"2022",134,19,25.3
"Arizona","AZ","2020",38,100,"2023",97,13,16
"Alabama","AL","2022",41,99,"2022",58,19,28.2
"Alabama","AL","2021",15,85,"2023",100,-11,-11.2
"Alabama","AL","2023",32,87,"2022",94,0,0
"Arizona","AZ","2020",10,124,"2022",107,17,18.3
"Arizona","AZ","2021",6,152,"2020",123,49,52.3
"Arkansas","AR","2021",17,46,"2022",157,-2,-8.2
"Arkansas","AR","2020",1,58,"2022",66,-4,-4.5
"Arkansas","AR","2022",1,81,"2023",129,16,30.4
"Arizona","AZ","2021",17,104,"2023",113,10,11
"Arizona","AZ","2020",53,133,"2022",99,45,43.7
"Alabama","AL","2023",33,104,"2021",162,30,41
"Arizona","AZ","2023",7,98,"2022",104,-6,-6.8
"Alabama","AL","2022",12,76,"2023",114,-19,-20
"Alabama","AL","2023",17,91,"2022",94,9,9.9
"Arizona","AZ","2021",49,129,"2021",106,36,34
"Alabama","AL","2023",10,82,"2022",69,-14,-14.7
"Alabama","AL","2022",10,89,"2020",72,1,1.7
"Alabama","AL","2020",15,90,"2020",100,11,10.1
